Ref,Val,Package,PosX,PosY,Rot,Side
"","","kleckner_lab_p_10mm",127.000000,-140.970000,180.000000,bottom
"J11","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",66.307000,-101.600000,90.000000,bottom
"svg2mod","G***","muvi_10mm",141.605000,-129.540000,180.000000,bottom
